                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1081,                0.79926,                 1.0799,                 0.7886,                0.71739,                0.76581,                0.44901,                 1.4148,                 1.0803,                 1.3119,                0.00439,                0.00439,                0.00439
                     36,                 1.0832,                0.77911,                 1.0537,                0.72965,                0.72826,                0.72437,                0.42604,                 1.4367,                 1.1108,                 1.3074,               0.004225,               0.004225,               0.004225
                     37,                 1.1126,                0.83397,                 1.0801,                0.86489,                0.70652,                0.78927,                0.47351,                 1.3917,                 1.0766,                 1.2793,                0.00406,                0.00406,                0.00406
                     38,                 1.0979,                 0.7938,                 1.0655,                0.80323,                0.75431,                0.76031,                0.43934,                 1.4489,                 1.1146,                 1.2848,               0.003895,               0.003895,               0.003895
                     39,                 1.0518,                0.79248,                 1.0459,                0.77276,                0.73927,                0.71736,                0.41172,                  1.465,                 1.2339,                 1.3155,                0.00373,                0.00373,                0.00373
                     40,                 1.0768,                0.79603,                  1.056,                0.69855,                0.73047,                0.66506,                0.38542,                 1.5318,                 1.1962,                 1.3015,               0.003565,               0.003565,               0.003565
                     41,                 1.0831,                0.80177,                 1.0639,                0.79721,                0.73913,                0.73098,                0.40866,                 1.4296,                  1.067,                 1.2855,                 0.0034,                 0.0034,                 0.0034
                     42,                  1.087,                0.79138,                 1.0492,                0.81396,                0.80435,                0.73239,                0.40093,                 1.5087,                 1.1877,                 1.3168,               0.003235,               0.003235,               0.003235
                     43,                 1.0549,                0.77744,                 1.0297,                 0.8154,                0.76087,                0.75889,                0.42659,                 1.4634,                 1.1785,                 1.3031,                0.00307,                0.00307,                0.00307
                     44,                 1.0325,                  0.757,                 1.0521,                0.77219,                   0.75,                0.72495,                0.39907,                 1.3979,                 1.2101,                 1.2803,               0.002905,               0.002905,               0.002905
                     45,                0.97729,                0.72968,                 1.0316,                 0.7478,                0.80573,                0.73016,                0.42231,                 1.3746,                 1.1555,                 1.2463,                0.00274,                0.00274,                0.00274
                     46,                 1.0141,                0.69741,                 1.0168,                0.79374,                0.71113,                0.70685,                0.42311,                 1.4047,                 1.2281,                 1.2798,               0.002575,               0.002575,               0.002575
                     47,                 1.0333,                0.70288,                 1.0343,                0.71958,                0.73913,                0.70553,                0.41236,                 1.4376,                 1.1506,                 1.3023,                0.00241,                0.00241,                0.00241
                     48,                0.98295,                0.71779,                 1.0107,                0.76763,                0.77174,                0.73421,                0.41789,                 1.4487,                 1.2024,                 1.2997,               0.002245,               0.002245,               0.002245
                     49,                 0.9885,                0.70204,                 1.0365,                0.71677,                0.70652,                0.70243,                0.42578,                 1.4121,                 1.2829,                 1.2731,                0.00208,                0.00208,                0.00208
                     50,                0.98814,                 0.7174,                 1.0164,                0.75295,                0.69565,                0.63857,                 0.3829,                 1.3658,                 1.4636,                 1.2741,               0.001915,               0.001915,               0.001915
                     51,                0.95036,                0.69275,                0.99891,                 0.7272,                0.66646,                0.66472,                0.39205,                  1.422,                 1.3631,                 1.2815,                0.00175,                0.00175,                0.00175
                     52,                0.95541,                 0.6523,                 1.0069,                0.77575,                0.71443,                0.67759,                0.40156,                 1.4248,                 1.2751,                 1.2703,               0.001585,               0.001585,               0.001585
                     53,                0.95022,                0.65559,                 1.0149,                0.78052,                0.77311,                0.73431,                0.43354,                 1.3845,                 1.0965,                  1.272,                0.00142,                0.00142,                0.00142
                     54,                0.92613,                0.65308,                0.98048,                0.78529,                0.76087,                0.74063,                 0.4251,                 1.3923,                 1.0888,                 1.2836,               0.001255,               0.001255,               0.001255
                     55,                0.92137,                0.62567,                 0.9767,                0.78205,                0.76087,                0.73108,                0.41801,                 1.4039,                 1.1363,                 1.2948,                0.00109,                0.00109,                0.00109
                     56,                0.88672,                0.61965,                0.98045,                0.77373,                0.72826,                0.73174,                0.41215,                 1.4144,                 1.2111,                 1.2955,               0.000925,               0.000925,               0.000925
                     57,                0.87951,                0.60344,                0.97181,                0.77086,                0.73137,                0.71601,                0.41327,                 1.4141,                 1.2975,                 1.2831,                0.00076,                0.00076,                0.00076
                     58,                0.89708,                0.62255,                 0.9926,                0.78026,                0.72826,                0.71819,                0.42612,                 1.4087,                 1.2867,                 1.2673,               0.000595,               0.000595,               0.000595
                     59,                 0.8846,                0.61095,                0.95686,                0.78631,                0.71739,                0.72864,                 0.4246,                  1.418,                 1.2616,                 1.2669,                0.00043,                0.00043,                0.00043
